n,t(n),,f(n) = log(n),,f(n) = sqrt(n),,f(n) = n,,f(n) = n*log(n),,f(n) = n**2,,f(n) = n**3,
,,,f(n)*x,squared_error,f(n)*x,squared_error,f(n)*x,squared_error,f(n)*x,squared_error,f(n)*x,squared_error,f(n)*x,squared_error
259,130.961,,1639.911946,2276932.957,1091.001486,921677.7349,715.2860628,341435.779,628.629202,247673.6393,325.4595709,37829.6941,131.8881893,0.859680043
284,169.915,,1667.105808,2241580.316,1142.443234,945811.1668,784.329119,377504.7096,700.7381506,281773.2172,391.3219414,49021.03372,173.8848055,15.75935548
312,223.219,,1694.855308,2165713.422,1197.437231,949101.1611,861.657342,407603.5165,782.6389895,312950.7247,472.2877786,62035.25645,230.5527972,53.78458166
343,295.685,,1722.81089,2036688.306,1255.516776,921277.0386,947.2707318,424563.9658,874.5929785,335134.4476,570.8023593,75689.56137,306.329607,113.3076592
377,390.643,,1750.703754,1849765.255,1316.273492,856791.8074,1041.169288,423184.4517,976.8508783,343639.6766,689.5729545,89359.11767,406.7529059,259.5290687
414,526.505,,1778.332798,1567072.836,1379.353657,727350.8319,1143.353012,380501.4693,1089.651541,317134.027,831.568829,93063.93979,538.6512066,147.5303355
455,734.367,,1806.201081,1148828.297,1446.042837,506482.4966,1256.583624,272710.2021,1216.330936,232289.2352,1004.431474,72934.81985,715.0572324,372.8671245
500,972.636,,1834.033723,742006.0379,1515.864779,295097.5063,1380.861125,166647.7527,1357.224152,147908.0467,1212.935,57743.6094,948.8916538,563.7939788
550,1281.838,,1862.161335,336775.1734,1589.852393,94872.86619,1518.947238,56220.79051,1515.843105,54758.38896,1467.65135,34526.60104,1262.974791,355.8206484
605,1704.067,,1890.288947,34678.61353,1667.451257,1340.712644,1670.841961,1103.9032,1692.613606,131.1802343,1775.858134,5153.966849,1681.019447,531.1896989
665,2215.773,,1918.19475,88552.81489,1748.180545,218642.7041,1836.545296,143813.6513,1887.941797,107473.2977,2145.560722,4929.764052,2232.397614,276.3777775
731,2950.225,,1946.120573,1008225.701,1832.880491,1248458.752,2018.818965,867517.2025,2105.529733,713510.094,2592.580638,127909.4896,2965.232453,225.2236336
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,X,204.559207,,67.79153381,,2.76172225,,0.30275637,,0.00485174,,7.59E-06,
,,MSE,,1.32E+06,,2.78E+05,,1.20E+05,,1.01E+05,,22214.6522,,5.89E+01
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,Min ,5.89E+01,suy ra,N**3 la do phuc tap can tim,,,,,,
