n,t(n),log(n),log(n)*81197622.30670737,sqrt(n),sqrt(n)*26894505.91628739,,n*1095253.36735991,nlog(n),nlog(n)*120059.57868998,n^2,n^2*1923.97689842,n^3,n^3*3.01168277,n^4,n^4*0.00442613,n^5,n^5*6.2932242E-06,2^n,2^n*-8.65607753E-11
136,7661096,7.087462841,575485130.9,11.66190379,313641140.5,,148954458,963.8949464,115724821.2,18496,35585876.71,2515456,7575755.494,342102016,1514188.575,46525874176,292797.7572,8.71E+40,-7.54E+30
149,10057088,7.21916852,586179318.9,12.20655562,328289282.2,,163192751.7,1075.65611,129142819.3,22201,42714211.12,3307949,9962493.008,492884401,2181571.269,73439775749,462172.9738,7.14E+44,-6.18E+34
163,13155382,7.348728154,596699253.1,12.76714533,343366065.7,,178526298.9,1197.842689,143812488.6,26569,51118142.21,4330747,13042836.12,705911761,3124458.418,1.15E+11,724121.139,1.17E+49,-1.01E+39
179,17435630,7.483815777,607668046.9,13.37908816,359823965.7,,196050352.8,1339.603024,160832174.7,32041,61646143.8,5735339,17273021.65,1026625681,4543980.464,1.84E+11,1156480.618,7.66E+53,-6.63E+43
196,22854584,7.614709844,618296333.9,14,376523082.8,,214669660,1492.483129,179186895.7,38416,73911496.53,7529536,22676573.84,1475789056,6532036.714,2.89E+11,1820344.394,1.00E+59,-8.69E+48
215,30104110,7.74819285,629134836.6,14.6628783,394350867.2,,235479474,1665.861463,200002625.4,46225,88935832.13,9938375,29931232.75,2136750625,9457539.663,4.59E+11,2891115.908,5.27E+64,-4.56E+54
236,39827854,7.882643049,640051873.1,15.3622915,413161239.5,,258479794.7,1860.30376,223347285.6,55696,107157817.3,13144256,39586329.32,3102044416,13730057.1,7.32E+11,4607159.191,1.10E+71,-9.56E+60
259,52591422,8.016808288,650945771.4,16.09347694,432826110.8,,283670622.1,2076.353347,249286108,67081,129062294.3,17373979,52324913.2,4499860561,19916975.45,1.17E+12,7334525.524,9.26E+77,-8.02E+67
284,69237296,8.14974712,661740088.5,16.85229955,453234269.9,,311051956.3,2314.528182,277881278.4,80656,155180280.7,22906304,68986521.08,6505390336,28793714.35,1.85E+12,11626925.88,3.11E+85,-2.69E+75
312,91814494,8.285402219,672754960,17.66352173,475051689.7,,341719050.6,2585.045492,310359472.7,97344,187287607.2,30371328,91468805.24,9475854336,41941379.2,2.96E+12,18605706.85,8.34E+93,-7.22E+83
343,121974054,8.422064766,683851633.9,18.52025918,498093220,,375671905,2888.768215,346824294.8,117649,226353958.1,40353607,121532262.9,13841287201,61263359.96,4.75E+12,29877468.97,1.79E+103,-1.55E+93
377,161850004,8.558420713,694923412.6,19.41648784,522196847.1,,412910519.5,3226.524609,387375185.2,142129,273452912.6,53582633,161373892.6,20200652641,89410748.89,7.62E+12,47926967.97,3.08E+113,-2.66E+103
414,214186894,8.693486957,705890470.5,20.34698995,547222241.6,,453434894.1,3599.1036,432106861.9,171396,329761944.5,70957944,213702817.3,29376588816,130024650.8,1.22E+13,76537612.26,4.23E+124,-3.66E+114
455,284176176,8.829722735,716952491.7,21.33072901,573679417.5,,498340282.1,4017.523844,482342220.1,207025,398311317.4,94196375,283689599.6,42859350625,189701130.2,1.95E+13,122724193.6,9.30E+136,-8.05E+126
500,376915154,8.965784285,728000366,22.36067977,601379434.5,,547626683.7,4482.892142,538214141.9,250000,480994224.6,125000000,376460346.3,62500000000,276633230.9,3.13E+13,196663256.2,3.27E+150,-2.83E+140
550,501506034,9.103287808,739165325.2,23.4520788,630732072,,602389352,5006.808295,601115294.4,302500,582003011.8,166375000,501068720.9,91506250000,405018713.3,5.03E+13,316728140.7,3.69E+165,-3.19E+155
605,667229750,9.240791332,750330284.4,24.59674775,661517378,,662628287.3,5590.678756,671214536,366025,704223644.2,221445125,666922467.5,1.34E+11,592987898.1,8.11E+13,510093837.9,1.33E+182,-1.15E+172
665,885526354,9.37721053,761407198.9,25.78759392,693544597.2,,728343489.3,6235.845003,748672923.8,442225,850830683.9,294079625,885674539.7,1.96E+11,865587373.9,1.30E+14,818429792.8,1.53E+200,-1.33E+190
731,1176027724,9.513727596,772492060.1,27.03701167,727147070.3,,800630211.5,6954.534873,834958526.8,534361,1028098219,390617891,1176417172,2.86E+11,1263845072,2.09E+14,1313590771,1.13E+220,-9.78E+209
,,,,,,,,,,,,,,,,,,,
X,,81197622.31,,26894505.92,,1095253.367,,1.20E+05,,1923.976898,,3.01168277,,4.43E-03,,6.29E-06,,-8.66E-11,
MSE,,,2.08E+17,,6.03E+16,,1.89E+16,,1.38E+16,,2.63399E+15,,4.01E+10,,1.30E+15,,3.90E+15,,1.912167E+418
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,Min,4.01E+10,suy ra,n^3 la do phuc tap can tim,,,,,,,,,,
